City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
4,Hithadhoo,MV,81.3,broken clouds,-0.6,73.0833,Scoop Guest House
5,Avarua,CK,86.0,few clouds,-21.2078,-159.775,Paradise Inn
9,Hilo,US,78.8,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
11,Pemba,MZ,77.67,overcast clouds,-12.974,40.5178,Guesthouse Samotina
14,Rikitea,PF,78.78,broken clouds,-23.1203,-134.9692,Pension Maro'i
16,Mataura,NZ,81.86,clear sky,-46.1927,168.8643,Ellie's Villa
21,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Castillo Galapagos
23,Butaritari,KI,81.23,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
25,Moron,AR,81.0,clear sky,-34.6534,-58.6198,Hotel Morón
27,Carnarvon,AU,84.2,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
33,Vaini,TO,84.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
39,Miandrivazo,MG,77.18,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
41,Miri,MY,80.6,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
52,Soyo,AO,79.54,overcast clouds,-6.1349,12.3689,Hotel Mpampa
59,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
60,Atuona,PF,79.99,broken clouds,-9.8,-139.0333,Villa Enata
64,Kavieng,PG,85.3,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
65,Atambua,ID,80.92,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
66,Te Anau,NZ,75.9,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
70,Flinders,AU,79.0,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
76,Ambulu,ID,85.08,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
78,Pak Chong,TH,79.34,clear sky,14.708,101.4161,PakChong Phubade Hotel
