City_ID,City,Country,Lat,Lng,Current Weather,Max Temp,Humidity,Cloudiness,Wind Speed
0,Oksfjord,NO,70.2396,22.3479,light snow,27.0,86,90,12.66
1,Tessalit,ML,20.1986,1.0114,overcast clouds,68.63,22,100,8.72
2,Ushuaia,AR,-54.8,-68.3,broken clouds,50.0,76,75,12.66
3,Tanout,NE,14.9709,8.8879,overcast clouds,58.73,29,86,9.24
4,Hithadhoo,MV,-0.6,73.0833,broken clouds,81.3,75,61,12.77
5,Avarua,CK,-21.2078,-159.775,few clouds,86.0,66,17,11.5
6,Busselton,AU,-33.65,115.3333,light rain,62.01,95,100,1.99
7,Khatanga,RU,71.9667,102.5,clear sky,-34.62,78,0,8.95
8,Bluff,NZ,-46.6,168.3333,clear sky,61.45,71,0,7.96
9,Hilo,US,19.7297,-155.09,broken clouds,78.8,53,75,5.75
10,Tabory,RU,58.5198,64.5495,snow,31.95,99,100,4.79
11,Pemba,MZ,-12.974,40.5178,overcast clouds,77.67,87,100,7.72
12,Tura,IN,25.5198,90.2201,overcast clouds,60.96,56,100,2.13
13,Shebunino,RU,46.4339,141.8603,broken clouds,14.25,82,67,6.44
14,Rikitea,PF,-23.1203,-134.9692,broken clouds,78.78,69,73,10.56
15,Talagang,PK,32.9297,72.4158,clear sky,46.71,63,0,1.72
16,Mataura,NZ,-46.1927,168.8643,clear sky,81.86,44,5,1.34
17,Jamestown,US,42.097,-79.2353,clear sky,17.6,49,1,6.91
18,Kapaa,US,22.0752,-159.319,scattered clouds,73.99,49,40,6.91
19,Hermanus,ZA,-34.4187,19.2345,light rain,66.99,94,97,7.31
20,Partenit,UA,44.578,34.3446,overcast clouds,37.0,83,100,1.01
21,Puerto Ayora,EC,-0.7393,-90.3518,broken clouds,77.0,94,66,6.76
22,Saint-Denis,FR,48.9167,2.3333,overcast clouds,45.0,93,90,8.05
23,Butaritari,KI,3.0707,172.7902,scattered clouds,81.23,79,38,20.22
24,Eyl,SO,7.9803,49.8164,broken clouds,74.7,81,52,12.57
25,Moron,AR,-34.6534,-58.6198,clear sky,81.0,54,0,3.29
26,Erenhot,CN,43.6475,111.9767,clear sky,7.18,90,0,6.35
27,Carnarvon,AU,-24.8667,113.6333,scattered clouds,84.2,100,40,13.8
28,Okhotsk,RU,59.3833,143.3,overcast clouds,3.43,86,100,21.81
29,Wasilla,US,61.5814,-149.4394,clear sky,17.6,86,1,1.72
30,Frydlant,CZ,50.9214,15.0797,light snow,25.0,93,100,4.0
